id,type,title,source,status,batch,priority
ch-01,chapter,Always On: Your High-Alert Brain,Ch1,draft_v1_complete,batch-1,high
ch-03,chapter,Hypervigilance at Home,Ch3,draft_v1_complete,batch-3,medium
ch-04,chapter,Anger and Short-Fuse Days,Ch4,draft_v1_complete,batch-1,high
ch-06,chapter,Depression and Numbness,Ch6,draft_v1_complete,batch-1,high
ch-08,chapter,Shame Spirals + Self-Loathing,Ch8,draft_v1_complete,batch-1,high
ch-09,chapter,Memory Slips,Ch9,draft_v1_complete,batch-3,medium
ch-11,chapter,Decision Fatigue,Ch11,draft_v1_complete,batch-3,medium
ch-12,chapter,Overreacting to Small Stuff,Ch12,draft_v1_complete,batch-3,medium
ch-13,chapter,Chronic Sleep Debt,Ch13,draft_v1_complete,batch-3,medium
ch-14,chapter,Sleep Apnea and Snoring,Ch14,draft_v1_complete,batch-3,medium
ch-19,chapter,"Noise, Crowds, Public Spaces",Ch19,draft_v1_complete,batch-3,medium
ch-20,chapter,"Vision, Balance, Motion Sensitivity",Ch20,draft_v1_complete,batch-3,medium
ch-21,chapter,Home Feels Like a Minefield,Ch21,draft_v1_complete,batch-3,medium
ch-22,chapter,Red/Yellow/Green Communication,Ch22,draft_v1_complete,batch-3,medium
ch-23,chapter,Repair After Damage,Ch23,draft_v1_complete,batch-1,high
ch-24,chapter,Parenting on Empty,Ch24,draft_v1_complete,batch-2,medium
ch-26,chapter,Kids in the Blast Radius,Ch26,draft_v1_complete,batch-2,medium
ch-27,chapter,Family Life in Transition,Ch27,draft_v1_complete,batch-2,medium
ch-28,chapter,Emotional Numbness,Ch28,draft_v1_complete,batch-3,medium
ch-29,chapter,Low Desire and Low Drive,Ch29,draft_v1_complete,batch-2,medium
ch-30,chapter,Stress Shuts Down Sex,Ch30,draft_v1_complete,batch-2,medium
ch-31,chapter,Sex and Avoidance After Difficult Experiences,Ch31,draft_v1_complete,batch-2,medium
ch-33,chapter,Touch Without Pressure,Ch33,draft_v1_complete,batch-3,medium
ch-34,chapter,"Body Image, Scars, Sexual Confidence",Ch34,draft_v1_complete,batch-3,medium
ch-35,chapter,Sex After Injury/Health Change,Ch35,draft_v1_complete,batch-3,medium
ch-36,chapter,Moral Injury 101,Ch36,draft_v1_complete,batch-1,high
ch-37,chapter,Betrayed by the System,Ch37,draft_v1_complete,batch-3,medium
ch-38,chapter,When You Feel Like the Villain,Ch38,draft_v1_complete,batch-3,medium
ch-39,chapter,"Faith, God, Big Questions",Ch39,draft_v1_complete,batch-3,medium
ch-41,chapter,Between Worlds: Identity After Role,Ch41,draft_v1_complete,batch-3,medium
ch-42,chapter,Rebuilding Mission and Meaning,Ch42,draft_v1_complete,batch-3,medium
ch-45,chapter,Loneliness and Loss of Tribe,Ch45,draft_v1_complete,batch-3,medium
ch-46,chapter,Lone Wolf to Healthy Team Member,Ch46,draft_v1_complete,batch-3,medium
split-01,split,Blow Up Recovery,Ch02,draft_v1_complete,batch-1,high
split-02,split,Shut Down Reconnect,Ch02,draft_v1_complete,batch-1,high
split-03,split,Overthinking Loop,Ch05,draft_v1_complete,batch-1,high
split-04,split,Night Spiral Stopper,Ch05,draft_v1_complete,batch-1,high
split-05,split,Hopelessness First Aid,Ch07,draft_v1_complete,batch-1,high
split-06,split,Crisis Conversation Action,Ch07,draft_v1_complete,batch-1,high
split-07,split,Tunnel Vision Reset,Ch10,draft_v1_complete,batch-2,medium
split-08,split,Scattered Brain Reset,Ch10,draft_v1_complete,batch-2,medium
split-09,split,Nightmare Recovery Plan,Ch15,draft_v1_complete,batch-2,medium
split-10,split,3am Wake Loop Reset,Ch15,draft_v1_complete,batch-2,medium
split-11,split,Pain Flare Plan,Ch16,draft_v1_complete,batch-2,medium
split-12,split,Tension Release Plan,Ch16,draft_v1_complete,batch-2,medium
split-13,split,TBI Brain Fog Plan,Ch17,draft_v1_complete,batch-2,medium
split-14,split,Headache Functional Plan,Ch17,draft_v1_complete,batch-2,medium
split-15,split,Alcohol Numbing Interrupt,Ch18,draft_v1_complete,batch-2,medium
split-16,split,Pill-Cycle Interrupt Plan,Ch18,draft_v1_complete,batch-2,medium
split-17,split,Secondary Trauma for Partners,Ch25,draft_v1_complete,batch-3,medium
split-18,split,Secondary Trauma for Teams,Ch25,draft_v1_complete,batch-3,medium
split-19,split,Habit Loop Reset,Ch32,draft_v1_complete,batch-3,medium
split-20,split,Shame Loop Repair,Ch32,draft_v1_complete,batch-3,medium
split-21,split,Shame and Intimacy Repair,Ch40,draft_v1_complete,batch-3,medium
split-22,split,Disclosure Repair,Ch40,draft_v1_complete,batch-3,medium
split-23,split,Work Identity Loss Plan,Ch43,draft_v1_complete,batch-3,medium
split-24,split,Overwhelm Stabilization Plan,Ch43,draft_v1_complete,batch-3,medium
split-25,split,Money Avoidance Reset,Ch44,draft_v1_complete,batch-3,medium
split-26,split,Household Chaos Reset,Ch44,draft_v1_complete,batch-3,medium
split-27,split,Screen and Scroll Loop Reset,Ch47,draft_v1_complete,batch-3,medium
split-28,split,Compulsion Interrupt Plan,Ch47,draft_v1_complete,batch-3,medium
new-01,new,Panic Attacks in Public: What To Do in 90 Seconds,Gap,draft_v1_complete,batch-1,high
new-02,new,Post-Incident Crash: The Day-After Recovery Guide,Gap,draft_v1_complete,batch-1,high
new-03,new,Grief After Suicide Loss,Gap,draft_v1_complete,batch-1,high
new-04,new,Survivor Guilt After Calls Scenes Incidents,Gap,draft_v1_complete,batch-1,high
new-05,new,Court Complaint or Investigation Stress Survival,Gap,draft_v1_complete,batch-1,high
new-06,new,Shift-Work Relationship Survival Plan,Gap,draft_v1_complete,batch-1,high
new-07,new,Co-Parenting Under Burnout and Conflict,Gap,draft_v1_complete,batch-2,medium
new-08,new,Returning to Work After Mental Health Leave,Gap,draft_v1_complete,batch-2,medium
new-09,new,Peer-Support Conversations for Teammates,Gap,draft_v1_complete,batch-2,medium
new-10,new,How To Ask for Help Without Feeling Weak,Gap,draft_v1_complete,batch-2,medium
new-11,new,Building a Personal Safety Network,Gap,draft_v1_complete,batch-2,medium
new-12,new,What To Do When Someone Refuses Help,Gap,draft_v1_complete,batch-2,medium
new-13,new,Digital Overload and Doom-Scroll Recovery,Gap,draft_v1_complete,batch-3,medium
new-14,new,Caffeine and Sleep Trap Reset for Frontline Schedules,Gap,draft_v1_complete,batch-3,medium
new-15,new,Eating Patterns Under Stress Reset Guide,Gap,draft_v1_complete,batch-3,medium
new-16,new,Boundaries With Family Who Do Not Understand the Job,Gap,draft_v1_complete,batch-3,medium
new-17,new,Dating While Carrying Trauma and Hypervigilance,Gap,draft_v1_complete,batch-3,medium
new-18,new,Year-One Transition Guide for Newly Separated or Retired Frontline,Gap,draft_v1_complete,batch-3,medium
